200 mV/s,,,100 mV/s,,,50 mV/s,,,20 mV/s,
電圧,電流,,電圧,電流,,電圧,電流,,電圧,電流
0.357733935,-5.27E-07,,0.278906941,-2.05E-05,,0.592049718,6.24E-06,,0.356995493,-5.21E-05
0.359471172,5.77E-08,,0.279970825,-2.02E-05,,0.597025752,7.70E-06,,0.35897553,-5.17E-05
0.361519873,3.70E-07,,0.280903935,-2.00E-05,,0.602060616,9.23E-06,,0.361019582,-5.14E-05
0.363449872,9.98E-07,,0.281927645,-1.97E-05,,0.607103109,1.08E-05,,0.363012999,-5.10E-05
0.365713596,1.23E-06,,0.282962859,-1.93E-05,,0.612063885,1.24E-05,,0.365018338,-5.08E-05
0.367728174,2.22E-06,,0.284039706,-1.91E-05,,0.617096364,1.41E-05,,0.36700657,-5.04E-05
0.36962384,2.35E-06,,0.284978688,-1.93E-05,,0.622042,1.57E-05,,0.369021386,-5.02E-05
0.371733725,2.92E-06,,0.285989165,-1.87E-05,,0.627022803,1.75E-05,,0.371033162,-4.98E-05
0.373611212,3.14E-06,,0.286989242,-1.85E-05,,0.632046282,1.92E-05,,0.373036355,-4.95E-05
0.37583065,3.84E-06,,0.287812233,-1.82E-05,,0.637043655,2.10E-05,,0.37502408,-4.92E-05
0.377511322,4.14E-06,,0.289066643,-1.83E-05,,0.642065942,2.28E-05,,0.377042681,-4.89E-05
0.379747808,4.66E-06,,0.290097177,-1.79E-05,,0.646966696,2.46E-05,,0.379043818,-4.86E-05
0.382007092,5.05E-06,,0.291001588,-1.77E-05,,0.651983321,2.65E-05,,0.381013215,-4.83E-05
0.383739114,5.43E-06,,0.291930944,-1.74E-05,,0.656979561,2.84E-05,,0.382991701,-4.80E-05
0.385682851,5.58E-06,,0.292942584,-1.74E-05,,0.661949456,3.04E-05,,0.385071158,-4.77E-05
0.387627333,6.42E-06,,0.294053137,-1.71E-05,,0.666907728,3.25E-05,,0.387078732,-4.74E-05
0.389509678,6.52E-06,,0.294826567,-1.68E-05,,0.671888709,3.46E-05,,0.389013886,-4.71E-05
0.391439766,7.16E-06,,0.295965672,-1.66E-05,,0.676880479,3.68E-05,,0.39102152,-4.68E-05
