電圧,電流
1.530134797,0.00768287
1.532034516,0.007779727
1.533798099,0.007877127
1.535994291,0.007977463
1.53792274,0.008078611
1.540035605,0.008182207
1.542043447,0.008285051
1.544047356,0.008389039
1.545994878,0.008495693
1.547874093,0.008600771
1.550151706,0.008710017
1.551924467,0.008818306
1.553876758,0.008929264
1.556261063,0.009042473
1.558077574,0.009154724
1.559897423,0.009269837
1.561973333,0.009384438
1.564091682,0.00950095
1.566036582,0.009618754
1.56793499,0.009737032
1.570090294,0.009859476
1.572100401,0.009980042
1.57407856,0.010101645
1.576129079,0.010225726
1.577967286,0.010349053
1.579917908,0.010475393
1.581774831,0.010601295
1.584058404,0.010731429
1.586034894,0.010861014
1.587663889,0.01098883
1.587915659,0.010999871
1.587915659,0.010999871
1.587915659,0.010999871
1.587915659,0.010999871
1.587915659,0.010999871
1.587915659,0.010999871
1.587915659,0.010999871
1.587915659,0.010999871
1.587915659,0.010999871
1.587915659,0.010999871
1.587915659,0.010999871
1.587915659,0.010999871
1.587915659,0.010999871
1.587915659,0.010999871
1.587915659,0.010999871
1.587915659,0.010999871
1.587915659,0.010999871
1.587915659,0.010999871
1.587915659,0.010999871
1.587915659,0.010999871
1.587915659,0.010999871
1.587915659,0.010999871
1.587915659,0.010999871
1.587915659,0.010999871
1.587915659,0.010999871
1.587915659,0.010999871
1.587915659,0.010999871
1.587915659,0.010999871
1.587915659,0.010999871
1.587915659,0.010999871
1.650041938,0.015621696
1.652080417,0.015796565
1.654074788,0.015959576
1.656306505,0.016133099
1.658133745,0.016283697
1.660206795,0.016460052
1.662164927,0.016628279
1.664248586,0.016805443
1.666123152,0.016965042
1.668186545,0.017139915
1.670300126,0.017312134
1.672324657,0.017493187
1.674197793,0.017662035
1.676046729,0.017829859
1.67805934,0.018001877
1.680097938,0.01818412
1.682165623,0.018364351
1.684036136,0.018533627
1.68625021,0.018729134
1.688209534,0.018904278
1.690048933,0.019077831
1.692232251,0.019276577
1.694225669,0.019445631
1.69605577,0.019626507
1.698425531,0.019835791
1.70013988,0.02000242
1.699411631,0.019785471
1.697499275,0.019422009
1.695373893,0.019042
1.693424702,0.018689857
1.691527605,0.018337229
1.689350605,0.017971104
1.687425852,0.017634531
1.685292363,0.01728297
1.683489442,0.016968388
1.681624651,0.01663736
1.679432511,0.016302565
1.677363873,0.015969005
1.67543757,0.01566058
1.673597336,0.015359282
1.67141068,0.015034189
1.669551015,0.0147415
1.6674155,0.014435555
1.665412307,0.014133234
1.66350019,0.013846552
1.661447644,0.013548764
1.659462094,0.013265855
1.657377481,0.012975629
1.655421495,0.012698992
1.653344154,0.012429658
1.651213527,0.012154308
1.649459481,0.011898709
1.647489548,0.01163306
1.6455338,0.011379237
1.643498659,0.011122993
1.641325355,0.010858379
1.639442563,0.010617056
1.637410402,0.01036741
1.635493875,0.010133195
1.633370638,0.009890763
1.631339669,0.009648194
1.629399657,0.009420103
1.627319932,0.009180667
1.62547946,0.00897572
1.623497248,0.008755184
1.621326089,0.008526863
1.619413733,0.008327122
1.617415547,0.008110805
1.616272449,0.008003061
1.616272449,0.008003061
1.616272449,0.008003061
1.616272449,0.008003061
1.616272449,0.008003061
1.616272449,0.008003061
1.616272449,0.008003061
1.616272449,0.008003061
1.616272449,0.008003061
1.616272449,0.008003061
1.616272449,0.008003061
1.616272449,0.008003061
1.616272449,0.008003061
1.616272449,0.008003061
1.616272449,0.008003061
1.616272449,0.008003061
1.616272449,0.008003061
1.616272449,0.008003061
1.616272449,0.008003061
1.616272449,0.008003061
1.616272449,0.008003061
1.616272449,0.008003061
1.616272449,0.008003061
1.616272449,0.008003061
1.616272449,0.008003061
1.616272449,0.008003061
1.616272449,0.008003061
1.616272449,0.008003061
1.616272449,0.008003061
1.616272449,0.008003061
1.616272449,0.008003061
1.553660274,0.003080737
1.551594019,0.002976244
1.549595594,0.002873201
1.547363639,0.002774274
1.545580983,0.00267842
1.543402791,0.002584311
1.541636825,0.002495428
1.539347649,0.002407016
1.537305117,0.002319434
1.535363555,0.002236882
