10 mV/s,,,20 mV/s,,,50 mV/s,,,100 mV/s,
電位,電流,,電位,電流,,電位,電流,,電位,電流
0.192678019,5.2949E-09,,0.385114998,1.00542E-08,,0.038434539,-2.32071E-08,,,
0.193647549,5.2952E-09,,0.387039959,1.00454E-08,,0.033450782,-2.32357E-08,,,
0.194657579,5.28806E-09,,0.389153063,1.00821E-08,,0.028506588,-2.31178E-08,,,
0.1956321,5.28142E-09,,0.391071796,1.00623E-08,,0.023477748,-2.32072E-08,,,
0.196715891,5.30029E-09,,0.393150747,1.00845E-08,,0.018443676,-2.32253E-08,,,
0.197654903,5.30376E-09,,0.395082027,1.00737E-08,,0.013433373,-2.32036E-08,,,
0.198666498,5.2923E-09,,0.39710021,1.00752E-08,,0.008427454,-2.32082E-08,,,
0.199707091,5.35214E-09,,0.399106532,1.01096E-08,,0.003412648,-2.32304E-08,,,
0.200665027,5.26334E-09,,0.401093096,1.00292E-08,,,,,,
0.201693371,5.32536E-09,,0.403114974,1.01213E-08,,,,,,
0.20270896,5.33609E-09,,0.405076593,1.00116E-08,,,,,,
0.203693509,5.33845E-09,,0.40709427,1.00636E-08,,,,,,
0.204676896,5.27628E-09,,0.409140438,1.00899E-08,,,,,,
0.205657989,5.30338E-09,,0.411164731,1.00997E-08,,,,,,
0.206660032,5.29001E-09,,0.413133383,1.00598E-08,,,,,,
0.207677364,5.34327E-09,,0.41511929,1.00721E-08,,,,,,
0.20865728,5.27976E-09,,0.417114228,1.00524E-08,,,,,,
0.209681436,5.33732E-09,,0.419079572,1.00564E-08,,,,,,
0.210707009,5.31546E-09,,0.421103239,1.0059E-08,,,,,,
0.211681783,5.32739E-09,,0.423106641,1.00918E-08,,,,,,
0.212677822,5.28243E-09,,0.42513296,1.00491E-08,,,,,,
0.213659123,5.31782E-09,,0.42713064,1.00772E-08,,,,,,
0.214703947,5.32893E-09,,0.42914778,1.00683E-08,,,,,,
0.215706527,5.33008E-09,,0.431117237,1.00604E-08,,,,,,
0.21668762,5.29895E-09,,0.433101714,1.00107E-08,,,,,,
0.217631117,5.31114E-09,,0.435138911,1.00805E-08,,,,,,
0.218708917,5.31174E-09,,0.437155575,1.00743E-08,,,,,,
0.21967712,5.34613E-09,,0.439173073,1.00882E-08,,,,,,
0.220685169,5.29617E-09,,0.441111386,1.00199E-08,,,,,,
0.221716687,5.34329E-09,,0.443125218,1.00745E-08,,,,,,
0.222673759,5.28353E-09,,0.4450984,1.00437E-08,,,,,,
0.223660305,5.35621E-09,,0.447192073,1.00929E-08,,,,,,
0.224674955,5.23247E-09,,0.449159235,1.00503E-08,,,,,,
0.225683734,5.31373E-09,,0.451155275,1.00847E-08,,,,,,
0.226692796,5.32609E-09,,0.453140974,1.00527E-08,,,,,,
0.227671191,5.31837E-09,,0.455130607,1.00741E-08,,,,,,
0.228701293,5.26468E-09,,0.45716247,1.00508E-08,,,,,,
0.22969088,5.32546E-09,,0.459119916,1.00608E-08,,,,,,
0.230686024,5.27475E-09,,0.461146951,1.00384E-08,,,,,,
0.231689364,5.34352E-09,,0.463190496,1.01108E-08,,,,,,
0.232694775,5.27834E-09,,0.465221465,1.00845E-08,,,,,,
0.233677432,5.30588E-09,,0.467088968,1.00501E-08,,,,,,
0.234709352,5.30619E-09,,0.469177514,1.01008E-08,,,,,,
0.235722244,5.33748E-09,,0.471177608,1.0085E-08,,,,,,
0.236725479,5.29972E-09,,0.47314772,1.00405E-08,,,,,,
0.237684131,5.30691E-09,,0.475151747,1.00703E-08,,,,,,
0.23868899,5.28965E-09,,0.477198035,1.01049E-08,,,,,,
0.239702076,5.32708E-09,,0.479218632,1.01295E-08,,,,,,
0.240719676,5.2724E-09,,0.481199205,1.00728E-08,,,,,,
0.24166289,5.27583E-09,,0.483151823,1.00517E-08,,,,,,
0.242662162,5.25796E-09,,0.485147566,1.0066E-08,,,,,,
0.243718415,5.3429E-09,,0.487160504,1.00752E-08,,,,,,
0.244722754,5.28463E-09,,0.489222944,1.00825E-08,,,,,,
0.24568744,5.31359E-09,,0.491182417,1.01097E-08,,,,,,
0.246718481,5.35114E-09,,0.493151933,1.00395E-08,,,,,,
0.247734979,5.37683E-09,,0.495169878,1.00813E-08,,,,,,
0.24869968,5.26389E-09,,0.497166485,1.00356E-08,,,,,,
0.249721155,5.34977E-09,,0.499158949,1.00751E-08,,,,,,
0.250765026,5.35175E-09,,0.4997949,-8.28378E-09,,,,,,
0.251695305,5.34987E-09,,0.497660846,-8.859E-09,,,,,,
0.252748221,5.29783E-09,,0.495605677,-8.97513E-09,,,,,,
0.253688842,5.31011E-09,,0.49354583,-9.02038E-09,,,,,,
0.25466904,5.27251E-09,,0.49174282,-8.8896E-09,,,,,,
0.255709559,5.36687E-09,,0.489835083,-8.83763E-09,,,,,,
0.256706357,5.27619E-09,,0.487710238,-8.92388E-09,,,,,,
0.257676005,5.31988E-09,,0.485695243,-8.92029E-09,,,,,,
0.258707345,5.32634E-09,,0.483768374,-8.92765E-09,,,,,,
0.259678751,5.34727E-09,,0.481715351,-8.91643E-09,,,,,,
0.260726035,5.34115E-09,,0.479727685,-8.92028E-09,,,,,,
0.261686355,5.31586E-09,,0.477782786,-8.86798E-09,,,,,,
0.262695283,5.25986E-09,,0.475731999,-8.91836E-09,,,,,,
0.263670325,5.34078E-09,,0.473669171,-8.96873E-09,,,,,,
0.264710873,5.34239E-09,,0.471786082,-8.88496E-09,,,,,,
0.265729994,5.34904E-09,,0.469701737,-8.93884E-09,,,,,,
0.266707748,5.3273E-09,,0.467677504,-8.94134E-09,,,,,,
0.267719418,5.3248E-09,,0.465814412,-8.87504E-09,,,,,,
0.268746674,5.26633E-09,,0.463748246,-8.93087E-09,,,,,,
0.269740343,5.34955E-09,,0.461667776,-8.93781E-09,,,,,,
0.270728201,5.31821E-09,,0.459739387,-8.92254E-09,,,,,,
0.2717309,5.33075E-09,,0.457792282,-8.87928E-09,,,,,,
0.272711277,5.29281E-09,,0.455713838,-8.95996E-09,,,,,,
0.273712188,5.32692E-09,,0.453599423,-8.97632E-09,,,,,,
0.27472356,5.32395E-09,,0.451678663,-8.94817E-09,,,,,,
0.275701821,5.32366E-09,,0.449686676,-8.93369E-09,,,,,,
0.276724815,5.28114E-09,,0.447659999,-8.97158E-09,,,,,,
0.277752638,5.33299E-09,,0.445666552,-8.93549E-09,,,,,,
0.278724104,5.299E-09,,0.443800956,-8.8806E-09,,,,,,
0.279747635,5.3395E-09,,0.441733301,-8.92452E-09,,,,,,
