,t,E,I,assortment
,14.6,-0.273017108440399,-1.61169171333313E-5,A
,14.7,-0.268057316541672,-1.55302742496133E-5,A
,14.8,-0.263162434101105,-1.496572047472E-5,A
,14.9,-0.258186787366867,-1.43922045826912E-5,A
,15.0,-0.253105670213699,-1.38126406818628E-5,A
,15.1,-0.248117715120316,-1.32531737908721E-5,A
,15.2,-0.243053302168846,-1.26880574971437E-5,A
,15.3,-0.238092124462128,-1.21378004550934E-5,A
,15.4,-0.233095169067383,-1.15883704274893E-5,A
,15.5,-0.228075861930847,-1.10515402629972E-5,A
,15.6,-0.223083168268204,-1.05075584724545E-5,A
,15.7,-0.218126848340034,-9.98327415436506E-6,A
,15.8,-0.213128641247749,-9.4480374827981E-6,A
,15.9,-0.208119124174118,-8.92926752567291E-6,A
,16.0,-0.203079760074615,-8.40286538004875E-6,A
,16.1,-0.1981400847435,-7.89263099431992E-6,A
,16.2,-0.193102598190308,-7.3760156519711E-6,A
,16.3,-0.188049033284187,-6.86598056927323E-6,A
,16.4,-0.183085739612579,-6.36334111914039E-6,A
,16.5,-0.178062543272972,-5.85802644491196E-6,A
,16.6,-0.173057362437248,-5.35933580249548E-6,A
,16.7,-0.168096199631691,-4.86867129802704E-6,A
,16.8,-0.163025572896004,-4.37864428386092E-6,A
,16.9,-0.158110126852989,-3.89194604940712E-6,A
,17.0,-0.153092324733734,-3.41358734294772E-6,A
,17.1,-0.1480553150177,-2.9367187526077E-6,A
,17.2,-0.143146544694901,-2.47468403540552E-6,A
,17.3,-0.138214662671089,-2.02270597219467E-6,A
,17.4,-0.133056685328484,-1.56289280857891E-6,A
,17.5,-0.128087311983109,-1.12808810081333E-6,A
,17.6,-0.123097963631153,-7.04009493347257E-7,A
,17.7,-0.118149735033512,-2.91528966045007E-7,A
,17.8,-0.113121666014194,1.09683722257614E-7,A
,17.9,-0.108130283653736,4.86197328427806E-7,A
,18.0,-0.103081993758678,8.48729279823601E-7,A
,18.1,-0.0981429219245911,1.1851767776534E-6,A
,18.2,-0.0930678471922874,1.51134899351746E-6,A
,18.3,-0.0881029367446899,1.80179660674185E-6,A
,18.4,-0.0830298513174057,2.07778811454773E-6,A
,18.5,-0.0780490189790726,2.32940446585417E-6,A
,18.6,-0.0730729475617409,2.55993311293423E-6,A
,18.7,-0.0680400133132935,2.76705832220614E-6,A
,18.8,-0.063030831515789,2.95902113430202E-6,A
,18.9,-0.0580203421413898,3.1368110794574E-6,A
,19.0,-0.0531257763504982,3.28947952948511E-6,A
,19.1,-0.0480927228927612,3.43802617862821E-6,A
,19.2,-0.0430568903684616,3.56924114748836E-6,A
,19.3,-0.038091704249382,3.69229540228844E-6,A
,19.4,-0.0330091044306755,3.81412799470127E-6,A
,19.5,-0.0280075315386057,3.91336204484105E-6,A
,19.6,-0.0231038257479668,4.00731060653925E-6,A
,19.7,-0.018055334687233,4.09682327881455E-6,A
,19.8,-0.0129580246284604,4.18447004631162E-6,A
,19.9,-0.00804879423230886,4.25825361162424E-6,A
,20.0,-0.00306695210747421,4.32826997712255E-6,A

