
,t,E,I,assortment
,14.7,0.292854130268097,2.37661898136139E-5,A
,14.8,0.294964402914047,2.36943177878857E-5,A
,14.9,0.296984404325485,2.36223991960287E-5,A
,15.0,0.298960864543915,2.35453750938177E-5,A
,15.1,0.301054388284683,2.34753433614969E-5,A
,15.2,0.303011327981949,2.34079360961914E-5,A
,15.3,0.30493837594986,2.33306307345629E-5,A
,15.4,0.306877344846725,2.32575908303261E-5,A
,15.5,0.308866560459137,2.31853798031807E-5,A
,15.6,0.31091183423996,2.3125434294343E-5,A
,15.7,0.31292387843132,2.30581350624561E-5,A
,15.8,0.314969956874847,2.3011514917016E-5,A
,15.9,0.316904544830322,2.29388624429703E-5,A
,16.0,0.318953633308411,2.28791236877441E-5,A
,16.1,0.320916593074799,2.28169187903404E-5,A
,16.2,0.322823047637939,2.27559842169285E-5,A
,16.3,0.324888229370117,2.27017346769571E-5,A
,16.4,0.326946288347244,2.26502045989037E-5,A
,16.5,0.329019248485565,2.26120240986347E-5,A
,16.6,0.330933213233948,2.25478950887918E-5,A
,16.7,0.332913517951965,2.24912371486425E-5,A
,16.8,0.33490914106369,2.2442240267992E-5,A
,16.9,0.336896449327469,2.238904312253E-5,A
,17.0,0.338914215564728,2.23441869020462E-5,A
,17.1,0.340943574905396,2.22989451140165E-5,A
,17.2,0.342960923910141,2.22586765885353E-5,A
,17.3,0.344905585050583,2.22117826342583E-5,A
,17.4,0.346943736076355,2.21719741821289E-5,A
,17.5,0.348920673131943,2.2125355899334E-5,A
,17.6,0.350895941257477,2.20824889838696E-5,A
,17.7,0.352916687726974,2.20428444445133E-5,A
,17.8,0.354954391717911,2.20080241560936E-5,A
,17.9,0.35695806145668,2.19687856733799E-5,A
,18.0,0.358991116285324,2.19341460615397E-5,A
,18.1,0.361126095056534,2.18878947198391E-5,A
,18.2,0.362921208143234,2.18549389392138E-5,A
,18.3,0.364960789680481,2.18193735927343E-5,A
,18.4,0.366936296224594,2.1784670650959E-5,A
,18.5,0.368980556726456,2.17545107007027E-5,A
,18.6,0.370993494987488,2.17213276773691E-5,A
,18.7,0.372935324907303,2.16842088848352E-5,A
,18.8,0.374928921461105,2.16564312577248E-5,A
,18.9,0.376881986856461,2.16188076883554E-5,A
,19.0,0.378986924886703,2.15983353555202E-5,A
,19.1,0.380920112133026,2.15632431209087E-5,A
,19.2,0.382954329252243,2.15370804071426E-5,A
,19.3,0.384802103042603,2.14966852217913E-5,A
,19.4,0.386916667222977,2.14785449206829E-5,A
,19.5,0.388897240161896,2.14468669146299E-5,A
,19.6,0.390873730182648,2.14190632104874E-5,A
,19.7,0.392991691827774,2.13979855179787E-5,A
,19.8,0.394968390464783,2.1373612806201E-5,A
,19.9,0.396971702575684,2.13441289961338E-5,A
,20.0,0.398924380540848,2.13196147233248E-5,A
,20.1,0.400947570800781,2.12966240942478E-5,A
,20.2,0.402962356805801,2.12710686028004E-5,A
,20.3,0.404932290315628,2.12438553571701E-5,A
,20.4,0.406963706016541,2.12234370410442E-5,A
,20.5,0.408951431512833,2.11931429803371E-5,A
,20.6,0.41077533364296,2.11538765579462E-5,A
,20.7,0.412963658571243,2.11523845791817E-5,A
,20.8,0.414992213249207,2.11334060877562E-5,A
,20.9,0.416871309280396,2.11049132049084E-5,A
,21.0,0.418946027755737,2.10860408842564E-5,A
,21.1,0.420929998159409,2.10643522441387E-5,A
