装置条件,,
ｽｷｬﾝﾓｰﾄﾞ:,蛍光ｽﾍﾟｸﾄﾙ,
励起波長:,450,nm
蛍光開始波長:,500,nm
蛍光終了波長:,800,nm
,,
ﾃﾞｰﾀﾘｽﾄ,,
波長 (nm),強度 (arb. unit),
690,1242,
690.2,1233,
690.4,1225,
690.6,1215,
690.8,1207,
691,1199,
691.2,1191,
691.4,1183,
691.6,1175,
691.8,1167,
692,1161,
692.2,1153,
692.4,1146,
692.6,1136,
692.8,1128,
693,1121,
693.2,1112,
693.4,1104,
693.6,1097,
693.8,1089,
694,1079,
694.2,1070,
694.4,1064,
694.6,1057,
694.8,1048,
695,1041,
695.2,1034,
695.4,1027,
695.6,1019,
695.8,1013,
696,1005,
696.2,997.7,
696.4,989.4,
696.6,983,
696.8,976.7,
697,969.5,
697.2,961.7,
697.4,953,
697.6,947.7,
697.8,941.2,
698,934.1,
698.2,927.4,
698.4,920.3,
698.6,915.2,
698.8,908.5,
699,901.6,
699.2,894.7,
699.4,887.8,
699.6,880.9,
699.8,874.5,
700,867.2,
700.2,862.9,
700.4,856.5,
700.6,849.8,
700.8,842.5,
701,835.4,
701.2,828.9,
701.4,824,
701.6,818.6,
701.8,812.9,
702,807.2,
702.2,800.4,
702.4,794.6,
702.6,789.3,
702.8,783.2,
703,776.6,
703.2,770.5,
703.4,763.7,
703.6,757.9,
703.8,751.9,
704,745.4,
704.2,740.3,
704.4,734.8,
704.6,728.2,
704.8,722.8,
705,717.4,
705.2,712.6,
705.4,707.7,
705.6,703,
705.8,697,
706,690.6,
706.2,686.3,
706.4,681.1,
706.6,675,
706.8,669.4,
707,664.5,
707.2,659.8,
707.4,654.1,
707.6,649.3,
707.8,645.5,
708,639.7,
708.2,633.9,
708.4,629.7,
708.6,623.6,
708.8,619,
709,613.5,
709.2,608.5,
709.4,603.6,
709.6,598.3,
709.8,593.3,
710,588.2,
710.2,583.1,
710.4,577.8,
710.6,572.5,
710.8,568,
711,564.2,
711.2,560.9,
711.4,556.3,
711.6,552.3,
711.8,546.8,
712,541.2,
712.2,537,
712.4,532.4,
712.6,528.9,
712.8,525.8,
713,521.8,
713.2,517.1,
713.4,513.3,
713.6,508.7,
713.8,504.3,
714,500.4,
714.2,496.5,
714.4,493.2,
714.6,488.8,
714.8,484.3,
715,479,
715.2,475.1,
715.4,470.9,
715.6,466.5,
715.8,463.4,
716,460.2,
716.2,456.9,
716.4,452.9,
716.6,449.2,
716.8,445.7,
717,442,
717.2,438.2,
717.4,434.8,
717.6,430.3,
717.8,427.1,
718,423.3,
718.2,419.3,
718.4,415.4,
718.6,411,
718.8,407.3,
719,404.6,
719.2,401.9,
719.4,397.6,
719.6,395,
719.8,390.6,
720,387.7,
720.2,384.6,
720.4,382.2,
720.6,378.9,
720.8,375.5,
721,372.3,
721.2,368.2,
721.4,365.2,
721.6,362.4,
721.8,359,
722,356.1,
722.2,353.3,
722.4,351,
722.6,347.8,
722.8,344.9,
723,342.1,
723.2,340.3,
723.4,337.2,
723.6,333.7,
723.8,331.2,
724,329,
724.2,326.2,
724.4,323.3,
724.6,318.7,
724.8,316.3,
725,312.8,
725.2,310,
725.4,307.2,
725.6,304.7,
725.8,301.5,
726,298.6,
726.2,295.9,
726.4,294.2,
726.6,292.5,
726.8,289.2,
727,286.3,
727.2,284.2,
727.4,281.5,
727.6,279,
727.8,277,
728,273.8,
728.2,271.6,
728.4,268.8,
728.6,265.7,
728.8,263.3,
729,260.4,
729.2,258.3,
729.4,255.3,
729.6,252.8,
729.8,251.5,
730,250,
730.2,247.7,
730.4,244.8,
730.6,242.2,
730.8,240.3,
731,237.7,
731.2,235.6,
731.4,233.7,
731.6,231.3,
731.8,229.2,
732,226.9,
732.2,225.1,
732.4,222.9,
732.6,220,
732.8,218.4,
733,216.1,
733.2,213.9,
733.4,212.2,
733.6,210.2,
733.8,208,
734,207,
734.2,204.6,
734.4,204,
734.6,202.2,
734.8,199.2,
735,196.6,
735.2,194.8,
735.4,193,
