装置条件,,
ｽｷｬﾝﾓｰﾄﾞ:,蛍光ｽﾍﾟｸﾄﾙ,
励起波長:,345,nm
蛍光開始波長:,380,nm
蛍光終了波長:,550,nm
,,
ﾃﾞｰﾀﾘｽﾄ,,
波長 (nm),強度 (arb. unit),
511.4,7.462,
511.6,7.452,
511.8,7.475,
512,7.462,
512.2,7.49,
512.4,7.498,
512.6,7.484,
512.8,7.491,
513,7.48,
513.2,7.513,
513.4,7.537,
513.6,7.546,
513.8,7.543,
514,7.553,
514.2,7.563,
514.4,7.567,
514.6,7.582,
514.8,7.586,
515,7.591,
515.2,7.633,
515.4,7.666,
515.6,7.69,
515.8,7.694,
516,7.69,
516.2,7.705,
516.4,7.693,
516.6,7.731,
516.8,7.74,
517,7.777,
517.2,7.793,
517.4,7.788,
517.6,7.811,
517.8,7.853,
518,7.857,
518.2,7.884,
518.4,7.868,
518.6,7.886,
518.8,7.892,
519,7.907,
519.2,7.936,
519.4,7.956,
519.6,7.984,
519.8,8,
520,8.048,
520.2,8.038,
520.4,8.058,
520.6,8.076,
520.8,8.08,
521,8.112,
521.2,8.113,
521.4,8.154,
521.6,8.147,
521.8,8.142,
522,8.147,
522.2,8.139,
522.4,8.134,
522.6,8.113,
522.8,8.15,
523,8.159,
523.2,8.17,
523.4,8.168,
523.6,8.166,
523.8,8.206,
524,8.239,
524.2,8.235,
524.4,8.214,
524.6,8.243,
524.8,8.266,
525,8.261,
525.2,8.249,
525.4,8.233,
525.6,8.246,
525.8,8.259,
526,8.275,
526.2,8.281,
526.4,8.289,
526.6,8.317,
526.8,8.336,
527,8.328,
527.2,8.308,
527.4,8.33,
527.6,8.345,
527.8,8.348,
528,8.338,
528.2,8.383,
528.4,8.356,
528.6,8.332,
528.8,8.328,
529,8.351,
529.2,8.344,
529.4,8.343,
529.6,8.36,
529.8,8.377,
530,8.382,
530.2,8.425,
530.4,8.387,
530.6,8.384,
530.8,8.371,
531,8.388,
531.2,8.39,
531.4,8.421,
531.6,8.443,
531.8,8.432,
532,8.468,
532.2,8.421,
532.4,8.43,
532.6,8.419,
532.8,8.451,
533,8.471,
533.2,8.489,
533.4,8.495,
533.6,8.496,
533.8,8.52,
534,8.541,
534.2,8.546,
534.4,8.544,
534.6,8.547,
534.8,8.578,
535,8.584,
535.2,8.583,
535.4,8.557,
535.6,8.575,
535.8,8.594,
536,8.639,
536.2,8.654,
536.4,8.693,
536.6,8.695,
536.8,8.695,
537,8.735,
537.2,8.773,
537.4,8.776,
537.6,8.795,
537.8,8.809,
538,8.828,
538.2,8.861,
538.4,8.893,
538.6,8.905,
538.8,8.909,
539,8.917,
539.2,8.909,
539.4,8.952,
539.6,8.987,
539.8,9.022,
540,9.049,
540.2,9.044,
540.4,9.091,
540.6,9.142,
540.8,9.185,
541,9.2,
541.2,9.222,
541.4,9.233,
541.6,9.235,
541.8,9.242,
542,9.221,
542.2,9.256,
542.4,9.236,
542.6,9.215,
542.8,9.223,
543,9.233,
543.2,9.236,
543.4,9.257,
543.6,9.267,
543.8,9.249,
544,9.261,
544.2,9.264,
544.4,9.283,
544.6,9.264,
544.8,9.281,
545,9.294,
545.2,9.308,
545.4,9.272,
545.6,9.278,
545.8,9.284,
546,9.292,
546.2,9.307,
546.4,9.309,
546.6,9.291,
546.8,9.283,
547,9.285,
547.2,9.272,
547.4,9.268,
547.6,9.276,
547.8,9.306,
548,9.283,
548.2,9.288,
548.4,9.299,
548.6,9.299,
548.8,9.323,
549,9.324,
549.2,9.33,
549.4,9.281,
549.6,9.291,
549.8,9.293,
550,9.343,
